9.0 1:0.095470862852 2:0.265108795957 3:0.996534692821 4:0.0193309467691 5:0.220284511843 6:0.304135589392 7:0.046425351674 8:0.117457959572 9:0.0111119505201 10:0.049704576264 11:0.125495931384 12:0.0866163508573 13:0.0805531865036 14:0.913686951955 15:0.0426359566212 16:0.51677309898 17:0.136777634581 18:0.0265245196819 19:0.637662305006 20:0.580638524818 21:0.0805531865036 22:0.534438473803 23:0.545801776862 24:0.347902475981 25:0.0474926711643 26:0.0390131007949 27:0.153751213638 28:0.0580115912856 29:0.0137932970933 30:0.162986637227 31:0.00799620741056 32:0.249612660095 33:0.856518810279 34:0.119612756367 35:0.235302381317 36:0.360946203869 37:0.140285903428 38:0.85431127936 39:0.859087992563 40:0.249612660095 41:0.789426535958 42:0.438768096984 43:0.0728575471976 44:0.00884401023666 45:0.264433199013 46:0.193220682199 47:0.870072833967 48:0.0858718639851 49:0.00366537815604 50:0.856961665146 51:0.585751954856
8.0 1:0.238343310499 2:0.45402853448 3:0.749504359153 4:0.0577816160574 5:0.191865187298 6:0.0268711465412 7:0.0287077738324 8:0.205392425114 9:0.11122100714 10:0.132527493711 11:0.0900167993645 12:0.0216295897352 13:0.229132754407 14:0.933077988933 15:0.152505422346 16:0.393982199137 17:0.306625591815 18:0.113977827615 19:0.829366899639 20:0.769348428849 21:0.229132754407 22:0.676186534587 23:0.634909212611 24:0.240637900754 25:0.0163264700871 26:0.0150890374579 27:0.0883165142556 28:0.0835998197039 29:0.0745864032526 30:0.0363791056962 31:0.0231608017226 32:0.0479821113239 33:0.971914503595 34:0.0983206546433 35:0.511883545719 36:0.296388114381 37:0.100227030972 38:0.808020189853 39:0.707925469165 40:0.0479821113239 41:0.502073801739 42:0.745343686734 43:0.219794484797 44:0.0105856926394 45:0.482045106675 46:0.159972638256 47:0.506126751829 48:0.0776160658748 49:0.0363049793103 50:0.87940309586 51:0.643619047144
8.0 1:0.257430527932 2:0.375677263086 3:0.537853588733 4:0.0557640727324 5:0.152413759521 6:0.0148761274218 7:0.0103582296779 8:0.0789994181636 9:0.0430077304418 10:0.0166475399133 11:0.0474005118956 12:0.0147876897523 13:0.172229775941 14:0.962387716524 15:0.18767718635 16:0.409100313299 17:0.398119851838 18:0.180260190891 19:0.871206817373 20:0.789439208389 21:0.172229775941 22:0.630076793094 23:0.721848044831 24:0.231716105927 25:0.00973604086414 26:0.0123712502055 27:0.0360568904155 28:0.0717313944527 29:0.0213660766432 30:0.023218793384 31:0.0121980022449 32:0.0763202821774 33:0.97502411218 34:0.1715327794 35:0.442121888139 36:0.404411205855 37:0.180750432844 38:0.881790128768 39:0.788126447786 40:0.0763202821774 41:0.57443714729 42:0.743431554459 43:0.128089436423 44:0.00537104918916 45:0.367399415862 46:0.156611755302 47:0.411354759352 48:0.132917271408 49:0.0126330282665 50:0.868082793388 51:0.616523788963
8.0 1:0.179849500572 2:0.296873575732 3:0.396194685034 4:0.0442098655577 5:0.3028846301 6:0.0165595977263 7:0.00169238358585 8:0.0153084737081 9:0.00725326672333 10:0.0167542918255 11:0.00460072503347 12:0.0222781191205 13:0.0843223860425 14:0.949630870233 15:0.0719349318476 16:0.436458101916 17:0.351418935092 18:0.131584502088 19:0.795652455866 20:0.718701760825 21:0.0843223860425 22:0.54500665918 23:0.674684828514 24:0.339979338131 25:0.00904944388005 26:0.00144608554945 27:0.019421563362 28:0.00905561495703 29:0.00862198062207 30:0.00425644967429 31:0.0129648947881 32:0.0712997480881 33:0.965618544275 34:0.123946079203 35:0.412077551898 36:0.439841900834 37:0.198836823434 38:0.85684040265 39:0.777380684732 40:0.0712997480881 41:0.566664876917 42:0.687338249085 43:0.311287897724 44:0.0205364790464 45:0.419461937338 46:0.277193730369 47:0.654764907857 48:0.135348360534 49:0.0226873547513 50:0.420222060711 51:0.499691391148
8.0 1:0.264434962137 2:0.382442872258 3:0.78757137004 4:0.0566438762508 5:0.178952801642 6:0.0174075319631 7:0.00595212458424 8:0.212666832785 9:0.024901916345 10:0.0595917169021 11:0.0775406059835 12:0.0131262253754 13:0.232811763456 14:0.96556070205 15:0.272489702517 16:0.381955789175 17:0.352705950129 18:0.159185903248 19:0.914316985597 20:0.835113990544 21:0.232811763456 22:0.694723215258 23:0.727372622833 24:0.240431970798 25:0.0112645422954 26:0.00829420255401 27:0.0998744632692 28:0.0462947013199 29:0.0586358004066 30:0.0393341980299 31:0.0165952252941 32:0.0853114167732 33:0.98061327491 34:0.2321450904 35:0.440717387365 36:0.35419721405 37:0.158296885786 38:0.890148957527 39:0.797302475857 40:0.0853114167732 41:0.594642846041 42:0.746461805653 43:0.31237594101 44:0.0137484574975 45:0.36090280511 46:0.148032772605 47:0.716317560852 48:0.231726666864 49:0.0432274655852 50:0.279742372462 51:0.384130042504
8.0 1:0.221543638001 2:0.410010419804 3:0.527535330845 4:0.0715374032809 5:0.178857083232 6:0.0175964783839 7:0.00187796463548 8:0.0489555928853 9:0.00860789253572 10:0.0654330575147 11:0.0382799741747 12:0.0196651186368 13:0.0977196247422 14:0.953102169325 15:0.0885987463934 16:0.452324378894 17:0.336756267724 18:0.123775667637 19:0.822394153513 20:0.739140146291 21:0.0977196247422 22:0.562100542429 23:0.70499477008 24:0.188212817246 25:0.0178960741287 26:0.00610303451233 27:0.053588624106 28:0.0343792026203 29:0.0508220925618 30:0.027732404978 31:0.0309321049565 32:0.0442122284392 33:0.947500449824 34:0.0535071461026 35:0.534933053118 36:0.265003978098 37:0.0763875057995 38:0.754231667097 39:0.659542316407 40:0.0442122284392 41:0.48138227074 42:0.697242808499 43:0.162138234797 44:0.00826368817235 45:0.331921563115 46:0.115956098236 47:0.712242120697 48:0.0412347975475 49:0.00291543026893 50:0.860885150077 51:0.727460197819
8.0 1:0.16603244755 2:0.347643143463 3:0.749087910766 4:0.0463401459928 5:0.221588216062 6:0.0285555383312 7:0.0057807625473 8:0.0953960409107 9:0.0235899264993 10:0.0684161931931 11:0.023718498004 12:0.0260309573529 13:0.111589614197 14:0.937922989237 15:0.0793785692966 16:0.453351114462 17:0.279873773265 18:0.0889721688977 19:0.798258070749 20:0.720671728453 21:0.111589614197 22:0.576578926567 23:0.675737104119 24:0.294501463549 25:0.0136998311046 26:0.00451043985741 27:0.0488193975083 28:0.0254192520664 29:0.0544564932537 30:0.00559661962586 31:0.0137824822218 32:0.0721278774224 33:0.964810366535 34:0.122991690997 35:0.422725835976 36:0.333904215361 37:0.125365088436 38:0.851894117984 39:0.771465128087 40:0.0721278774224 41:0.567706652499 42:0.686884541543 43:0.100682967712 44:0.00677716610469 45:0.352307343892 46:0.170684914661 47:0.49950203789 48:0.0268416219899 49:0.0214914655134 50:0.822892356225 51:0.542565808685
8.0 1:0.146926683082 2:0.396659220882 3:0.552513264992 4:0.0489076287165 5:0.128839762095 6:0.0370666007441 7:0.00822381826817 8:0.0377939824196 9:0.0335013074493 10:0.0388432557685 11:0.00523958930266 12:0.0581265059806 13:0.095816223934 14:0.933522751528 15:0.0641522236593 16:0.536936089201 17:0.199443650325 18:0.0502448848252 19:0.710539717496 20:0.625822420769 21:0.095816223934 22:0.539130026264 23:0.69327852622 24:0.218559316781 25:0.0193273752403 26:0.00903241638995 27:0.0310504711639 28:0.0512197262665 29:0.0137978832532 30:0.00973504264677 31:0.033241927662 32:0.0418124124679 33:0.960456599582 34:0.0646478233291 35:0.556613981088 36:0.22719610246 37:0.0614717830914 38:0.753161031289 39:0.651202436196 40:0.0418124124679 41:0.472222756007 42:0.737074919603 43:0.0833105738693 44:0.00632126240381 45:0.345533533252 46:0.130473194202 47:0.584767898009 48:0.254501229229 49:0.00925887044396 50:0.686812284473 51:0.434450880902
8.0 1:0.161445961017 2:0.374297194705 3:0.834512624929 4:0.0557682090181 5:0.0812590866405 6:0.0347628073191 7:0.024913063351 8:0.149654339657 9:0.101048529198 10:0.0129659720971 11:0.0143437484032 12:0.0341429404741 13:0.140876864096 14:0.982561913629 15:0.27344522933 16:0.516171272156 17:0.252435889287 18:0.103208278734 19:0.811195356267 20:0.709265892871 21:0.140876864096 22:0.582886131755 23:0.790358422093 24:0.240063500809 25:0.0194840051773 26:0.00637131222344 27:0.0719451215553 28:0.0363344271681 29:0.0285523084295 30:0.00676428908404 31:0.0405290358808 32:0.112276701646 33:0.950845703586 34:0.143957865661 35:0.492564688628 36:0.272562222725 37:0.0969320406477 38:0.77542240959 39:0.695061296459 40:0.112276701646 41:0.572640709645 42:0.700457702262 43:0.128470251573 44:0.00910204289727 45:0.245543529191 46:0.0954883866307 47:0.700798506284 48:0.258913657771 49:0.00450580592514 50:0.82414477245 51:0.754751428236
8.0 1:0.179363006962 2:0.367283313981 3:0.658878137377 4:0.0513255209574 5:0.108051198219 6:0.0251397171031 7:0.00227710608232 8:0.0860380349514 9:0.00950968831498 10:0.0526443733238 11:0.0264095935954 12:0.0426665189653 13:0.0748386244179 14:0.900150487626 15:0.034657248035 16:0.502878891504 17:0.304177802 18:0.097902053411 19:0.702609055862 20:0.635519000335 21:0.0748386244179 22:0.516821252105 23:0.598555109024 24:0.161560659802 25:0.0143114072 26:0.000247738428231 27:0.0404871815219 28:0.000854827576448 29:0.0281219581592 30:0.0148236937145 31:0.0312627450307 32:0.0437734687388 33:0.931485840564 34:0.0417614006991 35:0.522011623513 36:0.329493294164 37:0.109489611742 38:0.733655912128 39:0.649911332961 40:0.0437734687388 41:0.478909025142 42:0.653231597123 43:0.113680122625 44:0.00709768869126 45:0.271021147659 46:0.111581703499 47:0.698631156356 48:0.0972327833891 49:0.00470528912953 50:0.925162756893 51:0.697097853839
8.0 1:0.209681552289 2:0.39874092696 3:0.419108519152 4:0.0536007331115 5:0.177676185176 6:0.0219731995984 7:0.0103193796658 8:0.0523386300613 9:0.0425850547283 10:0.0985032230218 11:0.00797933037727 12:0.0200294656004 13:0.121909477086 14:0.951228598382 15:0.106907372401 16:0.411282188699 17:0.294097338204 18:0.1004990683 19:0.822243544526 20:0.753506883016 21:0.121909477086 22:0.613665651011 23:0.671204253493 24:0.22580515858 25:0.0135174083869 26:0.0100169015625 27:0.00787200999816 28:0.0574431417133 29:0.0790843029786 30:0.00428663726063 31:0.0208450097232 32:0.0652802491605 33:0.974592975986 34:0.144775944829 35:0.497514585584 36:0.306496896514 37:0.114090772782 38:0.840042100433 39:0.74011804589 40:0.0652802491605 41:0.537317551509 42:0.751671845379 43:0.102090164236 44:0.00527030567608 45:0.306811763971 46:0.110636749794 47:0.485306634908 48:0.156474938539 49:0.0137289286436 50:0.906271977979 51:0.646707257112
8.0 1:0.174454997816 2:0.352580165654 3:0.600518369186 4:0.0292964097165 5:0.149864282981 6:0.0331192624698 7:0.00989088283786 8:0.0327573780003 9:0.0406938404618 10:0.0270347224548 11:0.00461131719513 12:0.0361316896416 13:0.111201195637 14:0.953836692262 15:0.102179484628 16:0.520119056707 17:0.191743062195 18:0.0518364220755 19:0.796607856813 20:0.701250426515 21:0.111201195637 22:0.568011328808 23:0.758742966697 24:0.337467268157 25:0.0109999567245 26:0.00353335682903 27:0.0376101478157 28:0.0212759478158 29:0.0174703677913 30:0.00413490491875 31:0.0116211861358 32:0.0688454677284 33:0.969373583518 34:0.131580285124 35:0.419434474097 36:0.348429469525 37:0.135776544942 38:0.860955576587 39:0.777970535261 40:0.0688454677284 41:0.5587733527 42:0.695518780212 43:0.11230968432 44:0.00722515905659 45:0.468906381782 46:0.242268975164 47:0.860708224105 48:0.202279671811 49:0.033771458798 50:0.788072277978 51:0.516109182392
8.0 1:0.305055897347 2:0.403744526382 3:0.511228206785 4:0.0600798048121 5:0.127549928698 6:0.0128082301057 7:0.025482631132 8:0.0575848825081 9:0.105230718222 10:0.0309900358385 11:0.0261280186312 12:0.0123186570451 13:0.208176953196 14:0.972195210091 15:0.288325340762 16:0.360358883839 17:0.405815436337 18:0.200129691689 19:0.905043812922 20:0.833461693959 21:0.208176953196 22:0.695229253262 23:0.70486404393 24:0.213115603154 25:0.0100052868694 26:0.0134252888587 27:0.0894069288116 28:0.0773114385917 29:0.0287760007188 30:0.0202295414131 31:0.0131119805435 32:0.0820374642824 33:0.980733691077 34:0.224253786737 35:0.43058262261 36:0.392934214066 37:0.182605410268 38:0.891326622501 39:0.798534846651 40:0.0820374642824 41:0.594883882928 42:0.747177534584 43:0.133621548403 44:0.0046203016421 45:0.375572657983 46:0.140916464699 47:0.931469472425 48:0.0738430733687 49:0.0233164141402 50:0.940543089984 51:0.724041790106
8.0 1:0.286560598776 2:0.399881629741 3:0.717853874112 4:0.0509992208855 5:0.0895843622831 6:0.0186898628591 7:0.0157689768205 8:0.188657839643 9:0.0633990384495 10:0.0498775055028 11:0.0368170789584 12:0.0242824672406 13:0.260930624167 14:0.956289794124 15:0.251050840712 16:0.410333879127 17:0.352573421523 18:0.157473361205 19:0.832134637552 20:0.762765335176 21:0.260930624167 22:0.67558131731 23:0.676621864997 24:0.19114831778 25:0.00906602776348 26:0.0016175352127 27:0.0740325910418 28:0.00993792169751 29:0.0324116087875 30:0.01473415234 31:0.00993825691676 32:0.091342868548 33:0.979658606271 34:0.239921903468 35:0.421631197205 36:0.397542118739 37:0.188160766219 38:0.919661819955 39:0.825947865802 40:0.091342868548 41:0.598206559244 42:0.742713309962 43:0.122024054579 44:0.00447803293562 45:0.297214725268 46:0.105603726116 47:0.821847471708 48:0.112791564231 49:0.0183957879205 50:0.939445157499 51:0.749642472964
8.0 1:0.372278039578 2:0.470740160372 3:0.474761760131 4:0.0364141799089 5:0.133879725923 6:0.0241497903222 7:0.0504677252492 8:0.0813407824898 9:0.119138351587 10:0.189081467567 11:0.137736351092 12:0.0145784526742 13:0.247400552042 14:0.941335214258 15:0.184942771863 16:0.33679057891 17:0.294565380553 18:0.110994062323 19:0.872637073368 20:0.820565035254 21:0.247400552042 22:0.712485701033 23:0.631035401795 24:0.232038982059 25:0.00653141722902 26:0.018281028738 27:0.0537663631214 28:0.0744966801479 29:0.0911992527367 30:0.0560884219371 31:0.0187863384445 32:0.171780117228 33:0.986386674376 34:0.597496952166 35:0.390146705758 36:0.42912480412 37:0.280843253856 38:0.911599873813 39:0.829983605439 40:0.171780117228 41:0.685399740581 42:0.720735511344 43:0.24347486473 44:0.0072484171577 45:0.370121310093 46:0.10141071822 47:0.509433927003 48:0.160103729155 49:0.0192937556979 50:0.583009881392 51:0.641549508447
8.0 1:0.185655698699 2:0.358092145207 3:0.709662499465 4:0.050054095153 5:0.193869430628 6:0.0223701504363 7:0.00885330772076 8:0.0829065754083 9:0.036734878417 10:0.00430710744487 11:0.022482059281 12:0.0240792117157 13:0.154838951393 14:0.955090704625 15:0.145624514974 16:0.458846449253 17:0.275645028893 18:0.0956534931722 19:0.841193807827 20:0.752378733617 21:0.154838951393 22:0.607504157327 23:0.734785215012 24:0.306378259582 25:0.0135288173724 26:0.00507086886168 27:0.0501991448129 28:0.0287727354195 29:0.0057362564955 30:0.00774799584501 31:0.0190074669692 32:0.0557782994932 33:0.960361984894 34:0.0860670118629 35:0.484444244647 36:0.305939962738 37:0.103156225599 38:0.799494565373 39:0.714782639448 40:0.0557782994932 41:0.525989566702 42:0.685324085441 43:0.279639990002 44:0.0177797701885 45:0.426442226595 46:0.207630124563 47:0.710308206436 48:0.238441396878 49:0.0180702028333 50:0.585596981459 51:0.617548488902
8.0 1:0.201521833033 2:0.403417276904 3:0.665398500134 4:0.0753333939574 5:0.0739591666377 6:0.0202378329039 7:0.0328665598406 8:0.112946877084 9:0.134751359215 10:0.0550556553974 11:0.0275747313784 12:0.0535345496568 13:0.158538532593 14:0.981120713086 15:0.291459755248 16:0.51836716889 17:0.275431225092 18:0.118538081028 19:0.750673571564 20:0.657067815126 21:0.158538532593 22:0.574573566412 23:0.738156569033 24:0.170602844451 25:0.0196166278247 26:0.00212094770118 27:0.0259445479148 28:0.0123394775924 29:0.0357652148195 30:0.0173565003009 31:0.0360174258687 32:0.0456475849611 33:0.925209101517 34:0.0402129660037 35:0.516980246771 36:0.228888964798 37:0.0580241657142 38:0.709392296883 39:0.631495492127 40:0.0456475849611 41:0.488654211893 42:0.628296800602 43:0.128017941687 44:0.00709494363641 45:0.371546621685 46:0.139103928511 47:0.648164200075 48:0.353961079352 49:0.00682794129394 50:0.849715620023 51:0.589300395089
8.0 1:0.302361452428 2:0.391599898862 3:0.773139588688 4:0.0269606211917 5:0.184553719871 6:0.0287520660648 7:0.0754206247697 8:0.14964587796 9:0.156205236663 10:0.0240860663152 11:0.0121553881885 12:0.0230102143232 13:0.264595873036 14:0.964767110162 15:0.30405611382 16:0.403753355383 17:0.268461843257 18:0.114560828461 19:0.863917765905 20:0.788092712118 21:0.264595873036 22:0.68926417928 23:0.705548608544 24:0.319855105203 25:0.00654209991306 26:0.00746176142356 27:0.107690937599 28:0.0272609712613 29:0.0921284648906 30:0.0172556102097 31:0.00477667018786 32:0.247849051327 33:0.974149427664 34:0.54228279402 35:0.260374273179 36:0.520313921067 37:0.3442242189 38:0.980246063839 39:0.931457347618 40:0.247849051327 41:0.769577270556 42:0.638810559744 43:0.213019026054 44:0.00788843917404 45:0.467191297285 46:0.200953244211 47:0.794167506231 48:0.0895166612363 49:0.0908959469623 50:0.859203612353 51:0.710571444259
8.0 1:0.122803701598 2:0.334475056085 3:0.66864793906 4:0.0353196502929 5:0.231359618796 6:0.0476084664918 7:0.00157679677293 8:0.0549868887892 9:0.00667961331626 10:0.0421119904634 11:0.00458856366267 12:0.0530498679162 13:0.0705837313795 14:0.895084070885 15:0.0312251517262 16:0.523843590459 17:0.19017868372 18:0.0423022477038 19:0.67249811077 20:0.60601235244 21:0.0705837313795 22:0.51177847079 23:0.58172665127 24:0.362292089948 25:0.0150097672416 26:0.00439033840136 27:0.0224071808055 28:0.0253356866982 29:0.0404770729443 30:0.00316561102796 31:0.0172966614415 32:0.0673672613772 33:0.961243218196 34:0.105945188471 35:0.449840566537 36:0.294658388806 37:0.100429732146 38:0.820203504546 39:0.738006835698 40:0.0673672613772 41:0.545244682324 42:0.683596092621 43:0.156659578457 44:0.0150409291422 45:0.391864555025 46:0.208961739674 47:0.659874957314 48:0.130468173336 49:0.0457368888616 50:0.920010206133 51:0.671890263534
